registrationId,studentNo,eventId,registeredAt,status
1,A11423011,2,2026-06-10T09:10:00,REGISTERED
2,A11423011,11,2026-06-10T09:05:00,REGISTERED
3,A11423011,1,2026-06-10T09:00:00,CANCELLED
4,S10001,8,2026-06-08T09:00:00,REGISTERED
5,S10002,8,2026-06-08T09:05:00,REGISTERED
6,S10003,9,2026-06-08T10:00:00,REGISTERED
7,S10004,9,2026-06-08T10:05:00,REGISTERED
8,S10005,9,2026-06-08T10:10:00,REGISTERED
9,S10006,10,2026-06-08T11:00:00,REGISTERED
10,S10007,6,2026-06-09T08:30:00,REGISTERED
11,S10008,7,2026-06-09T09:00:00,REGISTERED
